cycle,root_branching_factor,selected_policy,possible_job_sets
1,1,FCSJ,"|0|"
2,1,FCSJ,"|1|"
3,1,FCSJ,"|2|"
4,1,NONE,""
5,1,NONE,""
6,1,NONE,""
7,1,FCSJ,"|3|"
8,1,NONE,""
9,1,FCSJ,"|4|"
10,1,FCSJ,"|5|"
11,1,NONE,""
12,1,NONE,""
13,1,FCSJ,"|6|"
14,1,FCSJ,"|7|"
15,1,NONE,""
16,1,FCSJ,"|8|"
17,1,NONE,""
18,1,FCSJ,"|9|"
19,1,FCSJ,"|10|"
20,1,FCSJ,"|11|"
21,1,FCSJ,"|12|"
22,1,FCSJ,"|13|"
23,1,FCSJ,"|14|"
24,1,FCSJ,"|15|"
25,1,FCSJ,"|16|"
26,1,FCSJ,"|17|"
27,1,FCSJ,"|18|"
28,1,FCSJ,"|19|"
29,1,FCSJ,"|20|"
30,1,FCSJ,"|21|"
31,1,NONE,""
32,1,FCSJ,"|22|"
33,1,NONE,""
34,1,NONE,""
35,1,FCSJ,"|23|"
36,1,NONE,""
37,1,FCSJ,"|24|"
38,1,NONE,""
39,1,FCSJ,"|25|"
40,1,DRAIN,"|26|"
41,1,FCSJ,"|26|"
42,1,NONE,""
43,1,NONE,""
44,1,NONE,""
45,1,NONE,""
46,1,NONE,""
47,1,NONE,""
48,1,NONE,""
49,1,NONE,""
50,1,NONE,""
51,1,NONE,""
52,1,FCSJ,"|27|"
53,1,NONE,""
54,1,FCSJ,"|28|"
55,1,NONE,""
56,1,FCSJ,"|29|"
57,1,NONE,""
58,1,FCSJ,"|30|"
59,1,FCSJ,"|31|"
60,1,NONE,""
61,1,FCSJ,"|32|"
62,1,NONE,""
63,1,FCSJ,"|33|"
64,1,FCSJ,"|34|"
65,1,FCSJ,"|35|"
66,1,FCSJ,"|36|"
67,1,NONE,""
68,1,NONE,""
69,1,FCSJ,"|37|"
70,1,FCSJ,"|38|"
71,1,NONE,""
72,1,FCSJ,"|39|"
73,1,DRAIN,"|40|"
74,1,FCSJ,"|40|"
75,1,NONE,""
76,1,NONE,""
77,1,NONE,""
78,1,FCSJ,"|41|"
79,1,FCSJ,"|42|"
80,1,FCSJ,"|43|"
81,1,NONE,""
82,1,FCSJ,"|44|"
83,1,NONE,""
84,1,NONE,""
85,1,FCSJ,"|45|"
86,1,NONE,""
87,1,FCSJ,"|46|"
88,1,FCSJ,"|47|"
89,1,NONE,""
90,1,NONE,""
91,1,NONE,""
92,1,NONE,""
93,1,NONE,""
94,1,NONE,""
95,1,NONE,""
96,1,FCSJ,"|48|"
97,1,FCSJ,"|49|"
98,1,NONE,""
99,1,NONE,""
100,1,FCSJ,"|50|"
101,1,NONE,""
102,1,FCSJ,"|51|"
103,1,NONE,""
104,1,FCSJ,"|52|"
105,1,NONE,""
106,1,FCSJ,"|53|"
107,1,NONE,""
108,1,FCSJ,"|54|"
109,1,FCSJ,"|55|"
110,1,FCSJ,"|56|"
111,1,FCSJ,"|57|"
112,1,FCSJ,"|58|"
113,1,NONE,""
114,1,DRAIN,"|59|"
115,1,BACKFILL,"|59|"
116,1,BACKFILL,"|59|"
117,1,FCSJ,"|59|"
118,1,NONE,""
119,1,DRAIN,"|62|"
120,1,DRAIN,"|62|"
121,1,BACKFILL,"|62|"
122,1,FCSJ,"|63|"
123,1,DRAIN,"|62|"
124,1,DRAIN,"|62|"
125,1,DRAIN,"|62|"
126,1,BACKFILL,"|62|"
127,1,FCSJ+BACKFILL,"|65|"
128,1,BACKFILL,"|62|"
129,1,DRAIN,"|62|"
130,1,DRAIN,"|62|"
131,1,FCSJ+BACKFILL,"|69|"
132,1,BACKFILL,"|62|"
133,1,DRAIN,"|62|"
134,1,DRAIN,"|62|"
135,1,DRAIN,"|62|"
136,1,FCSJ,"|62|"
137,1,FCSJ,"|72|"
138,1,DRAIN,"|73|"
139,1,FCSJ,"|73|"
140,1,NONE,""
141,1,DRAIN,"|74|"
142,1,DRAIN,"|74|"
143,1,DRAIN,"|74|"
144,1,DRAIN,"|74|"
145,1,BACKFILL,"|74|"
146,1,DRAIN,"|74|"
147,1,FCSJ,"|74|"
148,1,DRAIN,"|76|"
149,1,DRAIN,"|76|"
150,1,BACKFILL,"|76|"
151,1,DRAIN,"|76|"
152,1,FCSJ,"|76|"
153,1,DRAIN,"|79|"
154,1,DRAIN,"|79|"
155,1,DRAIN,"|79|"
156,1,DRAIN,"|79|"
157,1,DRAIN,"|79|"
158,1,FCSJ,"|79|"
159,1,DRAIN,"|80|"
160,1,DRAIN,"|80|"
161,1,DRAIN,"|80|"
162,1,DRAIN,"|80|"
163,1,DRAIN,"|80|"
164,1,DRAIN,"|80|"
165,1,DRAIN,"|80|"
166,1,FCSJ+BACKFILL,"|80|"
167,1,BACKFILL,"|83|"
168,1,FCSJ,"|83|"
169,1,DRAIN,"|87|"
170,1,DRAIN,"|87|"
171,1,DRAIN,"|87|"
172,1,FCSJ,"|87|"
173,1,FCSJ,"|88|"
174,1,DRAIN,"|82|"
175,1,DRAIN,"|82|"
176,1,FCSJ,"|82|"
177,1,NONE,""
178,1,FCSJ,"|91|"
179,1,NONE,""
180,1,NONE,""
181,1,NONE,""
182,1,FCSJ,"|92|"
183,1,NONE,""
184,1,NONE,""
185,1,NONE,""
186,1,FCSJ,"|93|"
187,1,NONE,""
188,1,FCSJ,"|94|"
189,1,NONE,""
190,1,FCSJ,"|95|"
191,1,NONE,""
192,1,FCSJ,"|96|"
193,1,FCSJ,"|97|"
194,1,FCSJ,"|98|"
195,1,NONE,""
196,1,FCSJ,"|99|"
197,1,NONE,""
198,1,NONE,""
199,1,FCSJ,"|100|"
200,1,NONE,""
201,1,FCSJ,"|101|"
202,1,FCSJ,"|102|"
203,1,FCSJ,"|103|"
204,1,FCSJ,"|104|"
205,1,NONE,""
206,1,FCSJ,"|105|"
207,1,FCSJ,"|106|"
208,1,NONE,""
209,1,FCSJ,"|107|"
210,1,NONE,""
211,1,NONE,""
212,1,NONE,""
213,1,NONE,""
214,1,NONE,""
215,1,NONE,""
216,1,NONE,""
217,1,FCSJ,"|108|"
218,1,FCSJ,"|109|"
219,1,FCSJ,"|110|"
220,1,FCSJ,"|111|"
221,1,FCSJ,"|112|"
222,1,NONE,""
223,1,NONE,""
224,1,FCSJ,"|113|"
225,1,NONE,""
226,1,FCSJ,"|114|"
227,1,FCSJ,"|115|"
228,1,FCSJ,"|116|"
229,1,FCSJ,"|117|"
230,1,DRAIN,"|118|"
231,1,DRAIN,"|118|"
232,1,DRAIN,"|118|"
233,1,DRAIN,"|118|"
234,1,DRAIN,"|118|"
235,1,DRAIN,"|118|"
236,1,DRAIN,"|118|"
237,1,DRAIN,"|118|"
238,1,FCSJ,"|118|"
239,1,BACKFILL,"|119|"
240,1,DRAIN,"|119|"
241,1,DRAIN,"|119|"
242,1,DRAIN,"|119|"
243,1,BACKFILL,"|119|"
244,1,FCSJ+BACKFILL,"|119|"
245,1,DRAIN,"|120|"
246,1,FCSJ,"|120|"
247,1,FCSJ,"|121|"
248,1,DRAIN,"|126|"
249,1,DRAIN,"|126|"
250,1,DRAIN,"|126|"
251,1,DRAIN,"|126|"
252,1,DRAIN,"|126|"
253,1,DRAIN,"|126|"
254,1,FCSJ,"|126|"
255,1,FCSJ,"|131|"
256,1,DRAIN,"|128|"
257,1,DRAIN,"|128|"
258,1,FCSJ,"|128|"
259,1,FCSJ,"|129|"
260,1,NONE,""
261,1,NONE,""
262,1,NONE,""
263,1,FCSJ,"|132|"
264,1,FCSJ,"|133|"
265,1,FCSJ,"|134|"
266,1,FCSJ,"|135|"
267,1,FCSJ,"|136|"
268,1,FCSJ,"|137|"
269,1,FCSJ,"|138|"
270,1,FCSJ,"|139|"
271,1,FCSJ,"|140|"
272,1,FCSJ,"|141|"
273,1,NONE,""
274,1,NONE,""
275,1,FCSJ,"|142|"
276,1,FCSJ,"|143|"
277,1,NONE,""
278,1,FCSJ,"|144|"
279,1,NONE,""
280,1,NONE,""
281,1,NONE,""
282,1,NONE,""
283,1,NONE,""
284,1,NONE,""
285,1,NONE,""
286,1,NONE,""
287,1,NONE,""
288,1,FCSJ,"|145|"
289,1,FCSJ,"|146|"
290,1,NONE,""
291,1,NONE,""
292,1,FCSJ,"|147|"
293,1,NONE,""
294,1,FCSJ,"|148|"
295,1,FCSJ,"|149|"
296,1,NONE,""
297,1,FCSJ,"|150|"
298,1,FCSJ,"|151|"
299,1,NONE,""
300,1,FCSJ,"|152|"
301,1,FCSJ,"|153|"
302,1,FCSJ,"|154|"
303,1,NONE,""
304,1,NONE,""
305,1,FCSJ,"|155|"
306,1,NONE,""
307,1,FCSJ,"|156|"
308,1,NONE,""
309,1,NONE,""
310,1,FCSJ,"|157|"
311,1,FCSJ,"|158|"
312,1,NONE,""
313,1,NONE,""
314,1,NONE,""
315,1,FCSJ,"|159|"
316,1,NONE,""
317,1,NONE,""
318,1,NONE,""
319,1,FCSJ,"|160|"
320,1,FCSJ,"|161|"
321,1,FCSJ,"|162|"
322,1,NONE,""
323,1,NONE,""
324,1,FCSJ,"|163|"
325,1,NONE,""
326,1,FCSJ,"|164|"
327,1,NONE,""
328,1,FCSJ,"|165|"
329,1,NONE,""
330,1,FCSJ,"|166|"
331,1,FCSJ,"|167|"
332,1,NONE,""
333,1,FCSJ,"|168|"
334,1,NONE,""
335,1,FCSJ,"|169|"
336,1,NONE,""
337,1,FCSJ,"|170|"
338,1,NONE,""
339,1,FCSJ,"|171|"
340,1,NONE,""
341,1,NONE,""
342,1,NONE,""
343,1,FCSJ,"|172|"
344,1,FCSJ,"|173|"
345,1,FCSJ,"|174|"
346,1,NONE,""
347,1,NONE,""
348,1,FCSJ,"|175|"
349,1,FCSJ,"|176|"
350,1,NONE,""
351,1,NONE,""
352,1,NONE,""
353,1,FCSJ,"|177|"
354,1,NONE,""
355,1,FCSJ,"|178|"
356,1,FCSJ,"|179|"
357,1,FCSJ,"|180|"
358,1,NONE,""
359,1,NONE,""
360,1,FCSJ,"|181|"
361,1,FCSJ,"|182|"
362,1,NONE,""
363,1,FCSJ,"|183|"
364,1,NONE,""
365,1,FCSJ,"|184|"
366,1,NONE,""
367,1,NONE,""
368,1,NONE,""
369,1,FCSJ,"|185|"
370,1,FCSJ,"|186|"
371,1,NONE,""
372,1,FCSJ,"|187|"
373,1,NONE,""
374,1,FCSJ,"|188|"
375,1,FCSJ,"|189|"
376,1,NONE,""
377,1,FCSJ,"|190|"
378,1,FCSJ,"|191|"
379,1,NONE,""
380,1,NONE,""
381,1,NONE,""
382,1,FCSJ,"|192|"
383,1,NONE,""
384,1,NONE,""
385,1,FCSJ,"|193|"
386,1,FCSJ,"|194|"
387,1,NONE,""
388,1,FCSJ,"|195|"
389,1,NONE,""
390,1,FCSJ,"|196|"
391,1,FCSJ,"|197|"
392,1,NONE,""
393,1,NONE,""
394,1,FCSJ,"|198|"
395,1,FCSJ,"|199|"
396,1,FCSJ,"|200|"
397,1,FCSJ,"|201|"
398,1,FCSJ,"|202|"
399,1,FCSJ,"|203|"
400,1,FCSJ,"|204|"
401,1,FCSJ,"|205|"
402,1,FCSJ,"|206|"
403,1,FCSJ,"|207|"
404,1,FCSJ,"|208|"
405,1,FCSJ,"|209|"
406,1,FCSJ,"|210|"
407,1,FCSJ,"|211|"
408,1,FCSJ,"|212|"
409,1,FCSJ,"|213|"
410,1,NONE,""
411,1,FCSJ,"|214|"
412,1,NONE,""
413,1,FCSJ,"|215|"
414,1,FCSJ,"|216|"
415,1,NONE,""
416,1,NONE,""
417,1,NONE,""
418,1,NONE,""
419,1,FCSJ,"|217|"
420,1,NONE,""
421,1,NONE,""
422,1,NONE,""
423,1,FCSJ,"|218|"
424,1,NONE,""
425,1,NONE,""
426,1,NONE,""
427,1,NONE,""
428,1,FCSJ,"|219|"
429,1,NONE,""
430,1,NONE,""
431,1,NONE,""
432,1,NONE,""
433,1,FCSJ,"|220|"
434,1,NONE,""
435,1,NONE,""
436,1,NONE,""
437,1,FCSJ,"|221|"
438,1,NONE,""
439,1,NONE,""
440,1,NONE,""
441,1,FCSJ,"|222|"
442,1,NONE,""
443,1,FCSJ,"|223|"
444,1,NONE,""
445,1,FCSJ,"|224|"
446,1,NONE,""
447,1,NONE,""
448,1,FCSJ,"|225|"
449,1,NONE,""
450,1,NONE,""
451,1,FCSJ,"|226|"
452,1,NONE,""
453,1,FCSJ,"|227|"
454,1,NONE,""
455,1,FCSJ,"|228|"
456,1,NONE,""
457,1,FCSJ,"|229|"
458,1,NONE,""
459,1,FCSJ,"|230|"
460,1,NONE,""
461,1,FCSJ,"|231|"
462,1,NONE,""
463,1,FCSJ,"|232|"
464,1,NONE,""
465,1,FCSJ,"|233|"
466,1,NONE,""
467,1,FCSJ,"|234|"
468,1,FCSJ,"|235|"
469,1,NONE,""
470,1,FCSJ,"|236|"
471,1,NONE,""
472,1,FCSJ,"|237|"
473,1,NONE,""
474,1,NONE,""
475,1,NONE,""
476,1,NONE,""
477,1,FCSJ,"|239|"
478,1,NONE,""
479,1,FCSJ,"|240|"
480,1,NONE,""
481,1,FCSJ,"|242|"
482,1,NONE,""
483,1,NONE,""
484,1,FCSJ,"|243|"
485,1,NONE,""
486,1,FCSJ,"|245|"
487,1,DRAIN,"|247|"
488,1,DRAIN,"|247|"
489,1,DRAIN,"|247|"
490,1,BACKFILL,"|247|"
491,1,DRAIN,"|247|"
492,1,DRAIN,"|247|"
493,1,FCSJ,"|247|"
494,1,DRAIN,"|249|"
495,1,DRAIN,"|249|"
496,1,FCSJ,"|249|"
497,1,NONE,""
498,1,FCSJ,"|250|"
499,1,FCSJ,"|251|"
500,1,NONE,""
501,1,FCSJ,"|252|"
502,1,NONE,""
503,1,NONE,""
504,1,FCSJ,"|253|"
505,1,NONE,""
506,1,FCSJ,"|254|"
507,1,NONE,""
508,1,FCSJ,"|255|"
509,1,FCSJ,"|256|"
510,1,FCSJ,"|257|"
511,1,FCSJ,"|258|"
512,1,NONE,""
513,1,FCSJ,"|259|"
514,1,FCSJ,"|260|"
515,1,NONE,""
516,1,FCSJ,"|261|"
517,1,FCSJ,"|262|"
518,1,NONE,""
519,1,FCSJ,"|263|"
520,1,NONE,""
521,1,NONE,""
522,1,NONE,""
523,1,FCSJ,"|264|"
524,1,NONE,""
525,1,FCSJ,"|265|"
526,1,FCSJ,"|266|"
527,1,DRAIN,"|267|"
528,1,DRAIN,"|267|"
529,1,DRAIN,"|267|"
530,1,FCSJ,"|267|"
531,1,NONE,""
532,1,FCSJ,"|268|"
533,1,DRAIN,"|269|"
534,1,FCSJ,"|269|"
535,1,NONE,""
536,1,FCSJ,"|270|"
537,1,DRAIN,"|271|"
538,1,FCSJ,"|271|"
539,1,DRAIN,"|272|"
540,1,FCSJ,"|272|"
541,1,DRAIN,"|273|"
542,1,FCSJ,"|273|"
543,1,NONE,""
544,1,FCSJ,"|274|"
545,1,FCSJ,"|275|"
546,1,DRAIN,"|276|"
547,1,BACKFILL,"|276|"
548,1,DRAIN,"|276|"
549,1,DRAIN,"|278|"
550,1,BACKFILL,"|278|"
551,1,FCSJ,"|278|"
552,1,DRAIN,"|279|"
553,1,BACKFILL,"|279|"
554,1,DRAIN,"|279|"
555,1,FCSJ,"|279|"
556,1,BACKFILL,"|276|"
557,1,DRAIN,"|276|"
558,1,FCSJ,"|283|"
559,1,DRAIN,"|276|"
560,1,DRAIN,"|276|"
561,1,DRAIN,"|284|"
562,1,DRAIN,"|284|"
563,1,DRAIN,"|284|"
564,1,DRAIN,"|284|"
565,1,BACKFILL,"|284|"
566,1,DRAIN,"|284|"
567,1,BACKFILL,"|284|"
568,1,BACKFILL,"|284|"
569,1,DRAIN,"|284|"
570,1,BACKFILL,"|284|"
571,1,DRAIN,"|284|"
572,1,DRAIN,"|284|"
573,1,FCSJ,"|284|"
574,1,BACKFILL,"|285|"
575,1,FCSJ,"|285|"
576,1,NONE,""
577,1,FCSJ,"|291|"
578,1,FCSJ,"|292|"
579,1,NONE,""
580,1,NONE,""
581,1,NONE,""
582,1,NONE,""
583,1,NONE,""
584,1,FCSJ,"|293|"
585,1,NONE,""
