cycle,root_branching_factor,selected_policy,possible_job_sets
1,1,F1,"|0|"
2,1,F1,"|1|"
3,1,NONE,""
4,1,NONE,""
5,1,F1,"|2|"
6,1,F1,"|3|"
7,1,NONE,""
8,1,NONE,""
9,1,F1,"|4|"
10,1,F1,"|5|"
11,1,F1,"|6|"
12,1,F1,"|7|"
13,1,F1,"|8|"
14,1,F1,"|9|"
15,1,NONE,""
16,1,F1,"|10|"
17,1,F1,"|11|"
18,1,NONE,""
19,1,NONE,""
20,1,NONE,""
21,1,F1,"|12|"
22,1,NONE,""
23,1,F1,"|13|"
24,1,NONE,""
25,1,F1,"|14|"
26,1,F1,"|15|"
27,1,NONE,""
28,1,NONE,""
29,1,NONE,""
30,1,F1,"|16|"
31,1,NONE,""
32,1,F1,"|17|"
33,1,NONE,""
34,1,F1,"|18|"
35,1,NONE,""
36,1,F1,"|19|"
37,1,F1,"|20|"
38,1,F1,"|21|"
39,1,F1,"|22|"
40,1,DRAIN,"|23|"
41,1,DRAIN,"|23|"
42,1,DRAIN,"|23|"
43,1,DRAIN,"|23|"
44,1,DRAIN,"|23|"
45,1,F1,"|28|"
46,1,F1,"|29|"
47,1,DRAIN,"|30|"
48,1,F1,"|30|"
49,1,DRAIN,"|23|"
50,1,F1,"|23|"
51,1,DRAIN,"|32|"
52,1,DRAIN,"|32|"
53,1,DRAIN,"|34|"
54,1,DRAIN,"|34|"
55,1,DRAIN,"|34|"
56,1,DRAIN,"|34|"
57,1,DRAIN,"|34|"
58,1,F1,"|34|"
59,1,F1,"|35|"
60,1,DRAIN,"|31|"
61,1,DRAIN,"|31|"
62,1,F1,"|31|"
63,1,DRAIN,"|33|"
64,1,DRAIN,"|39|"
65,1,F1,"|39|"
66,1,DRAIN,"|33|"
67,1,F1,"|40|"
68,1,DRAIN,"|33|"
69,1,DRAIN,"|33|"
70,1,F1,"|41|"
71,1,DRAIN,"|33|"
72,1,DRAIN,"|33|"
73,1,F1,"|42|"
74,1,F1,"|33|"
75,1,DRAIN,"|24|"
76,1,DRAIN,"|24|"
77,1,F1,"|43|"
78,1,DRAIN,"|24|"
79,1,DRAIN,"|24|"
80,1,F1,"|44|"
81,1,DRAIN,"|24|"
82,1,DRAIN,"|24|"
83,1,F1,"|45|"
84,1,F1,"|46|"
85,1,DRAIN,"|24|"
86,1,DRAIN,"|24|"
87,1,F1,"|47|"
88,1,DRAIN,"|24|"
89,1,DRAIN,"|24|"
90,1,F1,"|24|"
91,1,F1,"|25|"
92,1,DRAIN,"|48|"
93,1,DRAIN,"|48|"
94,1,DRAIN,"|50|"
95,1,DRAIN,"|50|"
96,1,DRAIN,"|50|"
97,1,DRAIN,"|50|"
98,1,DRAIN,"|50|"
99,1,DRAIN,"|50|"
100,1,DRAIN,"|50|"
101,1,DRAIN,"|50|"
102,1,DRAIN,"|50|"
103,1,DRAIN,"|50|"
104,1,DRAIN,"|50|"
105,1,DRAIN,"|50|"
106,1,DRAIN,"|50|"
107,1,DRAIN,"|50|"
108,1,DRAIN,"|50|"
109,1,DRAIN,"|50|"
110,1,DRAIN,"|50|"
111,1,DRAIN,"|50|"
112,1,DRAIN,"|50|"
113,1,DRAIN,"|50|"
114,1,DRAIN,"|50|"
115,1,DRAIN,"|50|"
116,1,DRAIN,"|50|"
117,1,DRAIN,"|50|"
118,1,DRAIN,"|50|"
119,1,DRAIN,"|50|"
120,1,DRAIN,"|50|"
121,1,DRAIN,"|50|"
122,1,DRAIN,"|50|"
123,1,DRAIN,"|50|"
124,1,DRAIN,"|50|"
125,1,DRAIN,"|50|"
126,1,DRAIN,"|50|"
127,1,DRAIN,"|50|"
128,1,DRAIN,"|50|"
129,1,DRAIN,"|50|"
130,1,DRAIN,"|50|"
131,1,DRAIN,"|50|"
132,1,DRAIN,"|50|"
133,1,DRAIN,"|50|"
134,1,DRAIN,"|50|"
135,1,DRAIN,"|50|"
136,1,F1+BACKFILL,"|50|"
137,1,F1,"|86|"
138,1,F1,"|89|"
139,1,F1,"|90|"
140,1,DRAIN,"|92|"
141,1,F1,"|92|"
142,1,DRAIN,"|93|"
143,1,F1,"|93|"
144,1,F1,"|87|"
145,1,DRAIN,"|94|"
146,1,F1,"|94|"
147,1,F1,"|91|"
148,1,DRAIN,"|95|"
149,1,DRAIN,"|95|"
150,1,F1,"|95|"
151,1,DRAIN,"|60|"
152,1,DRAIN,"|60|"
153,1,DRAIN,"|60|"
154,1,DRAIN,"|60|"
155,1,F1,"|97|"
156,1,DRAIN,"|98|"
157,1,F1,"|98|"
158,1,DRAIN,"|99|"
159,1,DRAIN,"|100|"
160,1,DRAIN,"|101|"
161,1,DRAIN,"|101|"
162,1,DRAIN,"|101|"
163,1,DRAIN,"|101|"
164,1,DRAIN,"|101|"
165,1,DRAIN,"|101|"
166,1,DRAIN,"|101|"
167,1,DRAIN,"|101|"
168,1,DRAIN,"|101|"
169,1,DRAIN,"|101|"
170,1,DRAIN,"|101|"
171,1,DRAIN,"|101|"
172,1,DRAIN,"|101|"
173,1,DRAIN,"|101|"
174,1,F1,"|101|"
175,1,DRAIN,"|102|"
176,1,DRAIN,"|102|"
177,1,F1,"|102|"
178,1,F1,"|103|"
179,1,F1,"|104|"
180,1,F1,"|105|"
181,1,DRAIN,"|107|"
182,1,F1,"|107|"
183,1,F1,"|108|"
184,1,F1,"|109|"
185,1,F1,"|110|"
186,1,F1,"|111|"
187,1,F1,"|112|"
188,1,F1,"|113|"
189,1,F1,"|114|"
190,1,F1,"|115|"
191,1,F1,"|116|"
192,1,F1,"|100|"
193,1,F1,"|99|"
194,1,DRAIN,"|60|"
195,1,F1,"|60|"
196,1,DRAIN,"|83|"
197,1,DRAIN,"|83|"
198,1,DRAIN,"|83|"
199,1,DRAIN,"|83|"
200,1,F1,"|83|"
201,1,DRAIN,"|84|"
202,1,DRAIN,"|84|"
203,1,DRAIN,"|84|"
204,1,F1,"|84|"
205,1,DRAIN,"|85|"
206,1,DRAIN,"|85|"
207,1,DRAIN,"|85|"
208,1,F1,"|85|"
209,1,DRAIN,"|78|"
210,1,DRAIN,"|78|"
211,1,DRAIN,"|78|"
212,1,DRAIN,"|78|"
213,1,DRAIN,"|78|"
214,1,F1,"|78|"
215,1,DRAIN,"|117|"
216,1,DRAIN,"|117|"
217,1,DRAIN,"|117|"
218,1,DRAIN,"|117|"
219,1,DRAIN,"|117|"
220,1,DRAIN,"|117|"
221,1,DRAIN,"|117|"
222,1,DRAIN,"|117|"
223,1,DRAIN,"|117|"
224,1,DRAIN,"|117|"
225,1,DRAIN,"|117|"
226,1,DRAIN,"|117|"
227,1,F1,"|117|"
228,1,F1,"|118|"
229,1,F1,"|119|"
230,1,F1,"|120|"
231,1,F1,"|121|"
232,1,DRAIN,"|127|"
233,1,DRAIN,"|127|"
234,1,F1,"|127|"
235,1,F1,"|128|"
236,1,DRAIN,"|79|"
237,1,DRAIN,"|79|"
238,1,DRAIN,"|79|"
239,1,DRAIN,"|79|"
240,1,DRAIN,"|79|"
241,1,F1,"|79|"
242,1,F1,"|80|"
243,1,DRAIN,"|81|"
244,1,DRAIN,"|81|"
245,1,F1,"|81|"
246,1,F1,"|82|"
247,1,DRAIN,"|64|"
248,1,F1,"|129|"
249,1,F1,"|130|"
250,1,F1,"|131|"
251,1,F1,"|132|"
252,1,F1,"|133|"
253,1,F1,"|134|"
254,1,F1,"|135|"
255,1,DRAIN,"|136|"
256,1,F1,"|136|"
257,1,DRAIN,"|64|"
258,1,F1,"|137|"
259,1,DRAIN,"|138|"
260,1,DRAIN,"|138|"
261,1,F1,"|138|"
262,1,DRAIN,"|140|"
263,1,F1,"|141|"
264,1,DRAIN,"|140|"
265,1,F1,"|140|"
266,1,DRAIN,"|64|"
267,1,F1,"|142|"
268,1,DRAIN,"|64|"
269,1,F1,"|64|"
270,1,DRAIN,"|66|"
271,1,F1,"|144|"
272,1,F1,"|145|"
273,1,DRAIN,"|66|"
274,1,DRAIN,"|66|"
275,1,DRAIN,"|66|"
276,1,DRAIN,"|66|"
277,1,DRAIN,"|66|"
278,1,DRAIN,"|66|"
279,1,DRAIN,"|66|"
280,1,DRAIN,"|66|"
281,1,DRAIN,"|66|"
282,1,F1,"|146|"
283,1,DRAIN,"|66|"
284,1,F1,"|149|"
285,1,DRAIN,"|66|"
286,1,F1,"|150|"
287,1,DRAIN,"|66|"
288,1,DRAIN,"|66|"
289,1,DRAIN,"|151|"
290,1,F1,"|152|"
291,1,F1,"|151|"
292,1,F1,"|153|"
293,1,DRAIN,"|66|"
294,1,F1,"|66|"
295,1,DRAIN,"|147|"
296,1,DRAIN,"|147|"
297,1,DRAIN,"|154|"
298,1,DRAIN,"|154|"
299,1,F1,"|156|"
300,1,F1,"|154|"
301,1,F1,"|155|"
302,1,DRAIN,"|147|"
303,1,DRAIN,"|147|"
304,1,DRAIN,"|147|"
305,1,F1,"|157|"
306,1,F1,"|158|"
307,1,F1,"|159|"
308,1,F1,"|160|"
309,1,DRAIN,"|147|"
310,1,DRAIN,"|147|"
311,1,DRAIN,"|147|"
312,1,DRAIN,"|147|"
313,1,DRAIN,"|147|"
314,1,F1,"|147|"
315,1,F1,"|148|"
316,1,F1,"|143|"
317,1,DRAIN,"|26|"
318,1,F1,"|161|"
319,1,F1,"|162|"
320,1,DRAIN,"|26|"
321,1,DRAIN,"|26|"
322,1,F1,"|163|"
323,1,DRAIN,"|26|"
324,1,F1,"|164|"
325,1,F1,"|165|"
326,1,F1,"|166|"
327,1,DRAIN,"|167|"
328,1,DRAIN,"|167|"
329,1,DRAIN,"|167|"
330,1,DRAIN,"|167|"
331,1,DRAIN,"|167|"
332,1,DRAIN,"|167|"
333,1,F1,"|167|"
334,1,DRAIN,"|168|"
335,1,F1,"|173|"
336,1,F1,"|174|"
337,1,F1,"|175|"
338,1,DRAIN,"|176|"
339,1,DRAIN,"|176|"
340,1,DRAIN,"|176|"
341,1,DRAIN,"|176|"
342,1,DRAIN,"|176|"
343,1,DRAIN,"|176|"
344,1,F1,"|176|"
345,1,F1,"|177|"
346,1,F1,"|179|"
