cycle,root_branching_factor,selected_policy,possible_job_sets
1,1,SCF,"|0|"
2,1,SCF,"|1|"
3,1,SCF,"|2|"
4,1,NONE,""
5,1,NONE,""
6,1,NONE,""
7,1,SCF,"|3|"
8,1,NONE,""
9,1,SCF,"|4|"
10,1,SCF,"|5|"
11,1,NONE,""
12,1,NONE,""
13,1,SCF,"|6|"
14,1,SCF,"|7|"
15,1,NONE,""
16,1,SCF,"|8|"
17,1,NONE,""
18,1,SCF,"|9|"
19,1,SCF,"|10|"
20,1,SCF,"|11|"
21,1,SCF,"|12|"
22,1,SCF,"|13|"
23,1,SCF,"|14|"
24,1,SCF,"|15|"
25,1,SCF,"|16|"
26,1,SCF,"|17|"
27,1,SCF,"|18|"
28,1,SCF,"|19|"
29,1,SCF,"|20|"
30,1,SCF,"|21|"
31,1,NONE,""
32,1,SCF,"|22|"
33,1,NONE,""
34,1,NONE,""
35,1,SCF,"|23|"
36,1,NONE,""
37,1,SCF,"|24|"
38,1,NONE,""
39,1,SCF,"|25|"
40,1,DRAIN,"|26|"
41,1,SCF,"|26|"
42,1,NONE,""
43,1,NONE,""
44,1,NONE,""
45,1,NONE,""
46,1,NONE,""
47,1,NONE,""
48,1,NONE,""
49,1,NONE,""
50,1,NONE,""
51,1,NONE,""
52,1,SCF,"|27|"
53,1,NONE,""
54,1,SCF,"|28|"
55,1,NONE,""
56,1,SCF,"|29|"
57,1,NONE,""
58,1,SCF,"|30|"
59,1,SCF,"|31|"
60,1,NONE,""
61,1,SCF,"|32|"
62,1,NONE,""
63,1,SCF,"|33|"
64,1,SCF,"|34|"
65,1,SCF,"|35|"
66,1,SCF,"|36|"
67,1,NONE,""
68,1,NONE,""
69,1,SCF,"|37|"
70,1,SCF,"|38|"
71,1,NONE,""
72,1,SCF,"|39|"
73,1,DRAIN,"|40|"
74,1,SCF,"|40|"
75,1,NONE,""
76,1,NONE,""
77,1,NONE,""
78,1,SCF,"|41|"
79,1,SCF,"|42|"
80,1,SCF,"|43|"
81,1,NONE,""
82,1,SCF,"|44|"
83,1,NONE,""
84,1,NONE,""
85,1,SCF,"|45|"
86,1,NONE,""
87,1,SCF,"|46|"
88,1,SCF,"|47|"
89,1,NONE,""
90,1,NONE,""
91,1,NONE,""
92,1,NONE,""
93,1,NONE,""
94,1,NONE,""
95,1,NONE,""
96,1,SCF,"|48|"
97,1,SCF,"|49|"
98,1,NONE,""
99,1,NONE,""
100,1,SCF,"|50|"
101,1,NONE,""
102,1,SCF,"|51|"
103,1,NONE,""
104,1,SCF,"|52|"
105,1,NONE,""
106,1,SCF,"|53|"
107,1,NONE,""
108,1,SCF,"|54|"
109,1,SCF,"|55|"
110,1,SCF,"|56|"
111,1,SCF,"|57|"
112,1,SCF,"|58|"
113,1,NONE,""
114,1,DRAIN,"|59|"
115,1,SCF,"|60|"
116,1,SCF,"|61|"
117,1,SCF,"|59|"
118,1,NONE,""
119,1,DRAIN,"|62|"
120,1,SCF,"|63|"
121,1,SCF,"|64|"
122,1,DRAIN,"|62|"
123,1,DRAIN,"|62|"
124,1,DRAIN,"|62|"
125,1,SCF,"|65|"
126,1,SCF,"|66|"
127,1,SCF,"|67|"
128,1,SCF,"|68|"
129,1,SCF,"|69|"
130,1,DRAIN,"|62|"
131,1,SCF,"|70|"
132,1,DRAIN,"|62|"
133,1,SCF,"|71|"
134,1,DRAIN,"|62|"
135,1,DRAIN,"|62|"
136,1,SCF,"|62|"
137,1,SCF,"|72|"
138,1,DRAIN,"|73|"
139,1,SCF,"|73|"
140,1,NONE,""
141,1,DRAIN,"|74|"
142,1,DRAIN,"|74|"
143,1,DRAIN,"|74|"
144,1,DRAIN,"|74|"
145,1,BACKFILL,"|74|"
146,1,DRAIN,"|74|"
147,1,SCF,"|74|"
148,1,DRAIN,"|77|"
149,1,SCF,"|77|"
150,1,DRAIN,"|76|"
151,1,BACKFILL,"|76|"
152,1,DRAIN,"|76|"
153,1,DRAIN,"|76|"
154,1,SCF,"|76|"
155,1,SCF,"|80|"
156,1,DRAIN,"|79|"
157,1,DRAIN,"|79|"
158,1,DRAIN,"|79|"
159,1,DRAIN,"|79|"
160,1,DRAIN,"|79|"
161,1,DRAIN,"|79|"
162,1,DRAIN,"|79|"
163,1,DRAIN,"|79|"
164,1,DRAIN,"|79|"
165,1,DRAIN,"|79|"
166,1,DRAIN,"|79|"
167,1,SCF+BACKFILL,"|79|"
168,1,BACKFILL,"|83|"
169,1,DRAIN,"|83|"
170,1,DRAIN,"|83|"
171,1,DRAIN,"|83|"
172,1,SCF,"|83|"
173,1,SCF,"|87|"
174,1,SCF+BACKFILL,"|88|"
175,1,DRAIN,"|82|"
176,1,SCF,"|82|"
177,1,NONE,""
178,1,SCF,"|91|"
179,1,NONE,""
180,1,NONE,""
181,1,NONE,""
182,1,SCF,"|92|"
183,1,NONE,""
184,1,NONE,""
185,1,SCF,"|93|"
186,1,NONE,""
187,1,NONE,""
188,1,SCF,"|94|"
189,1,NONE,""
190,1,SCF,"|95|"
191,1,NONE,""
192,1,SCF,"|96|"
193,1,SCF,"|97|"
194,1,SCF,"|98|"
195,1,NONE,""
196,1,SCF,"|99|"
197,1,NONE,""
198,1,NONE,""
199,1,SCF,"|100|"
200,1,NONE,""
201,1,SCF,"|101|"
202,1,SCF,"|102|"
203,1,SCF,"|103|"
204,1,SCF,"|104|"
205,1,NONE,""
206,1,SCF,"|105|"
207,1,SCF,"|106|"
208,1,NONE,""
