cycle,root_branching_factor,selected_policy,possible_job_sets
1,1,SRF,"|0|"
2,1,SRF,"|1|"
3,1,SRF,"|2|"
4,1,NONE,""
5,1,NONE,""
6,1,NONE,""
7,1,SRF,"|3|"
8,1,NONE,""
9,1,SRF,"|4|"
10,1,SRF,"|5|"
11,1,NONE,""
12,1,NONE,""
13,1,SRF,"|6|"
14,1,SRF,"|7|"
15,1,NONE,""
16,1,SRF,"|8|"
17,1,NONE,""
18,1,SRF,"|9|"
19,1,SRF,"|10|"
20,1,SRF,"|11|"
21,1,SRF,"|12|"
22,1,SRF,"|13|"
23,1,SRF,"|14|"
24,1,SRF,"|15|"
25,1,SRF,"|16|"
26,1,SRF,"|17|"
27,1,SRF,"|18|"
28,1,SRF,"|19|"
29,1,SRF,"|20|"
30,1,SRF,"|21|"
31,1,NONE,""
32,1,SRF,"|22|"
33,1,NONE,""
34,1,NONE,""
35,1,SRF,"|23|"
36,1,NONE,""
37,1,SRF,"|24|"
38,1,NONE,""
39,1,SRF,"|25|"
40,1,DRAIN,"|26|"
41,1,SRF,"|26|"
42,1,NONE,""
43,1,NONE,""
44,1,NONE,""
45,1,NONE,""
46,1,NONE,""
47,1,NONE,""
48,1,NONE,""
49,1,NONE,""
50,1,NONE,""
51,1,NONE,""
52,1,SRF,"|27|"
53,1,NONE,""
54,1,SRF,"|28|"
55,1,NONE,""
56,1,SRF,"|29|"
57,1,NONE,""
58,1,SRF,"|30|"
59,1,SRF,"|31|"
60,1,NONE,""
61,1,SRF,"|32|"
62,1,NONE,""
63,1,SRF,"|33|"
64,1,SRF,"|34|"
65,1,SRF,"|35|"
66,1,SRF,"|36|"
67,1,NONE,""
68,1,NONE,""
69,1,SRF,"|37|"
70,1,SRF,"|38|"
71,1,NONE,""
72,1,SRF,"|39|"
73,1,DRAIN,"|40|"
74,1,SRF,"|40|"
75,1,NONE,""
76,1,NONE,""
77,1,NONE,""
78,1,SRF,"|41|"
79,1,SRF,"|42|"
80,1,SRF,"|43|"
81,1,NONE,""
82,1,SRF,"|44|"
83,1,NONE,""
84,1,NONE,""
85,1,SRF,"|45|"
86,1,NONE,""
87,1,SRF,"|46|"
88,1,SRF,"|47|"
