cycle,root_branching_factor,selected_policy,possible_job_sets
1,1,SJF,"|0|"
2,1,SJF,"|1|"
3,1,NONE,""
4,1,NONE,""
5,1,SJF,"|2|"
6,1,SJF,"|3|"
7,1,NONE,""
8,1,NONE,""
9,1,SJF,"|4|"
10,1,SJF,"|5|"
11,1,SJF,"|6|"
12,1,SJF,"|7|"
13,1,SJF,"|8|"
14,1,SJF,"|9|"
15,1,NONE,""
16,1,SJF,"|10|"
17,1,SJF,"|11|"
18,1,NONE,""
19,1,NONE,""
20,1,NONE,""
21,1,SJF,"|12|"
22,1,NONE,""
23,1,SJF,"|13|"
24,1,NONE,""
25,1,SJF,"|14|"
26,1,SJF,"|15|"
27,1,NONE,""
28,1,NONE,""
29,1,NONE,""
30,1,SJF,"|16|"
31,1,NONE,""
32,1,SJF,"|17|"
33,1,NONE,""
34,1,SJF,"|18|"
35,1,NONE,""
36,1,SJF,"|19|"
37,1,SJF,"|20|"
38,1,SJF,"|21|"
39,1,SJF,"|22|"
40,1,DRAIN,"|23|"
41,1,DRAIN,"|23|"
42,1,DRAIN,"|23|"
43,1,DRAIN,"|23|"
44,1,DRAIN,"|23|"
45,1,BACKFILL,"|23|"
46,1,BACKFILL,"|23|"
47,1,DRAIN,"|23|"
48,1,SJF,"|23|"
49,1,DRAIN,"|30|"
50,1,SJF,"|30|"
51,1,DRAIN,"|32|"
52,1,DRAIN,"|33|"
53,1,DRAIN,"|33|"
54,1,DRAIN,"|33|"
55,1,DRAIN,"|33|"
56,1,DRAIN,"|33|"
57,1,DRAIN,"|33|"
58,1,BACKFILL,"|33|"
59,1,DRAIN,"|33|"
60,1,DRAIN,"|33|"
61,1,DRAIN,"|33|"
62,1,DRAIN,"|33|"
63,1,DRAIN,"|33|"
64,1,BACKFILL,"|33|"
65,1,DRAIN,"|33|"
66,1,BACKFILL,"|33|"
67,1,DRAIN,"|33|"
68,1,DRAIN,"|33|"
69,1,DRAIN,"|33|"
70,1,DRAIN,"|33|"
71,1,SJF,"|33|"
72,1,DRAIN,"|42|"
73,1,SJF,"|42|"
74,1,DRAIN,"|24|"
75,1,DRAIN,"|24|"
76,1,DRAIN,"|24|"
77,1,SJF,"|43|"
78,1,DRAIN,"|24|"
79,1,DRAIN,"|24|"
80,1,SJF,"|44|"
81,1,DRAIN,"|24|"
82,1,DRAIN,"|24|"
83,1,SJF,"|45|"
84,1,SJF,"|46|"
85,1,DRAIN,"|24|"
86,1,DRAIN,"|24|"
87,1,SJF,"|47|"
88,1,DRAIN,"|24|"
89,1,DRAIN,"|24|"
90,1,SJF,"|24|"
91,1,SJF,"|25|"
92,1,DRAIN,"|48|"
93,1,DRAIN,"|48|"
94,1,DRAIN,"|50|"
95,1,DRAIN,"|50|"
96,1,DRAIN,"|50|"
97,1,DRAIN,"|50|"
98,1,DRAIN,"|50|"
99,1,DRAIN,"|50|"
100,1,DRAIN,"|50|"
101,1,DRAIN,"|50|"
102,1,DRAIN,"|50|"
103,1,DRAIN,"|50|"
104,1,DRAIN,"|50|"
105,1,DRAIN,"|50|"
106,1,DRAIN,"|50|"
107,1,DRAIN,"|50|"
108,1,DRAIN,"|50|"
109,1,DRAIN,"|50|"
110,1,DRAIN,"|50|"
111,1,DRAIN,"|50|"
112,1,DRAIN,"|50|"
113,1,DRAIN,"|50|"
114,1,DRAIN,"|50|"
115,1,DRAIN,"|50|"
116,1,DRAIN,"|50|"
117,1,DRAIN,"|50|"
118,1,DRAIN,"|50|"
119,1,DRAIN,"|50|"
120,1,DRAIN,"|50|"
121,1,DRAIN,"|50|"
122,1,DRAIN,"|50|"
123,1,DRAIN,"|50|"
124,1,DRAIN,"|50|"
125,1,DRAIN,"|50|"
126,1,DRAIN,"|50|"
127,1,DRAIN,"|50|"
128,1,DRAIN,"|50|"
129,1,DRAIN,"|50|"
130,1,DRAIN,"|50|"
131,1,DRAIN,"|50|"
132,1,DRAIN,"|50|"
133,1,DRAIN,"|50|"
134,1,DRAIN,"|50|"
135,1,DRAIN,"|50|"
136,1,SJF+BACKFILL,"|50|"
137,1,BACKFILL,"|78|"
138,1,BACKFILL,"|78|"
139,1,BACKFILL,"|78|"
140,1,DRAIN,"|78|"
141,1,BACKFILL,"|78|"
142,1,DRAIN,"|78|"
143,1,BACKFILL,"|78|"
144,1,BACKFILL,"|78|"
145,1,DRAIN,"|78|"
146,1,BACKFILL,"|78|"
147,1,BACKFILL,"|78|"
148,1,DRAIN,"|78|"
149,1,DRAIN,"|78|"
150,1,SJF,"|78|"
151,1,DRAIN,"|81|"
152,1,DRAIN,"|81|"
153,1,DRAIN,"|81|"
154,1,DRAIN,"|81|"
155,1,DRAIN,"|81|"
156,1,DRAIN,"|81|"
157,1,DRAIN,"|81|"
158,1,SJF,"|98|"
159,1,DRAIN,"|81|"
160,1,SJF,"|100|"
161,1,DRAIN,"|101|"
162,1,DRAIN,"|101|"
163,1,DRAIN,"|101|"
164,1,DRAIN,"|101|"
165,1,DRAIN,"|101|"
166,1,DRAIN,"|101|"
167,1,DRAIN,"|101|"
168,1,DRAIN,"|101|"
169,1,DRAIN,"|101|"
170,1,DRAIN,"|101|"
171,1,DRAIN,"|101|"
172,1,DRAIN,"|101|"
173,1,DRAIN,"|101|"
174,1,DRAIN,"|101|"
175,1,DRAIN,"|101|"
176,1,DRAIN,"|101|"
177,1,SJF,"|101|"
178,1,SJF,"|102|"
179,1,SJF,"|103|"
180,1,SJF,"|104|"
